产品名,平台,2025时间点,时间口径,发售/状态,主品类,次级标签,核心玩法,核心玩法分析,抖音观察,微信观察,国内媒体/社区来源,资料来源,备注
源序空间,iOS / Android,2025-09-28,公测时间（TapTap动态转载）,已上线,塔防,二次元塔防 / 英雄塔防 / 科幻题材,以美少女角色和横版战场为核心的科幻塔防,重点不在纯建塔而在角色技能与塔防阵线结合; 适合研究二游包装如何改写塔防用户认知,二次元角色立绘和技能演出天然适合短视频切片; 首屏题材识别度高,若做轻社交活动和预约裂变有传播空间; 但核心仍偏中重度手游,TapTap 页面与 2025-09-28 的 TapTap 动态推荐,[TapTap](https://www.taptap.cn/app/720947) | [TapTap动态](https://www.taptap.cn/moment/721323431634668747),2025 年国内新塔防公测样本
冲冲奇兵,iOS / Android,2025-11-11,2025年TapTap社区活跃观察,预约/观察中,塔防,卡牌塔防 / 阵营搭配 / 轻策略,结合塔防和卡牌收集的策略产品,价值在于“卡牌阵容思维”对塔防用户门槛的重新包装; 适合研究轻策略塔防,卡牌抽取和阵营组合适合做短视频角色展示; 但需要实战片段才能讲清玩法,如果后续上线微信小游戏版本会有轻度扩散潜力; 当前更偏手游预约与社区传播,TapTap 页与 2025 年社区内容,[TapTap](https://www.taptap.cn/app/744572) | [TapTap塔防话题](https://www.taptap.cn/hashtag/%E5%A1%94%E9%98%B2%E6%B8%B8%E6%88%8F),先作为 2025 国内观察样本保留
正中靶心,iOS / Android / 抖音小游戏入口观察,2025-03-11,2025年抖音与TapTap活跃观察,已上线且持续活跃,塔防,肉鸽塔防 / 技能选择 / 轻操作,一波波怪攻城并通过技能选择形成流派,它的重要性在于把塔防压缩成更轻的操作负担和更强的随机成长反馈,肉鸽和技能组合天然适合做短视频高光; 已观察到抖音小游戏相关话题内容,在微信小游戏语境中也具备轻量化潜力; 但网页侧更容易拿到社区而非官方小程序页,TapTap 产品页 + 抖音相关视频索引,[TapTap](https://www.taptap.cn/app/343703) | [TapTap介绍页](https://www.taptap.cn/app/343703/all-info) | [抖音索引](https://www.douyin.com/shipin/7333573340089272370),更适合研究短视频传播与肉鸽塔防
塔防精灵,微信小游戏 / 手游,2025-04-29,2025年活动观察时间,已上线且持续运营,塔防,自走棋塔防 / 实时对战 / 合作玩法,自走棋与塔防结合并支持真人对战,它不是传统守AI波次而是更强调 PvP 对抗和阵容构筑,对战高光和阵容克制适合做短视频; 玩法理解成本高于传统轻塔防,已存在微信小游戏秒玩入口与 2025 年活动记录; 证明其在小游戏生态中有持续活跃度,TapTap 论坛与微信小游戏入口页,[TapTap论坛](https://www.taptap.cn/app/231817/topic) | [微信小游戏入口页](https://v2yx.com/game/12.html),适合研究塔防在小游戏里的 PvP 化
无尽塔防,微信小游戏,2025-04-25,微信小游戏列表收录时间,已上线/观察中,塔防,合成塔防 / 挂机塔防 / 轻量玩法,布置防线并合成升级炮塔的轻量塔防,典型的小游戏轻量结构; 适合研究“合成+挂机+塔防”的微信场景适配,首屏理解成本低且适合展示合成升级反馈,微信小游戏适配度高; 典型轻量塔防框架,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/130.htm),保留为微信轻量塔防样本
家园守卫塔防,微信小游戏,2025-11-14,微信小游戏列表收录时间,已上线/观察中,塔防,肉鸽塔防 / 合成塔防 / 微信小游戏,合成与肉鸽元素结合的微信小游戏塔防,适合研究 2025 年小游戏塔防如何通过“合成+任务”提升留存,合成和无尽任务结构适合短视频切片和买量素材,小游戏表达直接; 更适合微信轻度用户,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/8485.htm),2025 下半年微信新样本
机械纪元,微信小游戏,2025-04-25,微信小游戏列表收录时间,已上线/观察中,塔防,英雄塔防 / 肉鸽 / 割草混合,英雄塔防结合肉鸽和割草表达,它反映了小游戏塔防和幸存者玩法的混血趋势; 适合研究品类边界融合,割草和火力覆盖很适合短视频爽点表达,如果转微信买量会有较强首屏吸引力,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/1280.htm),作为混合玩法观察样本
塔防保卫,微信小游戏,2025-11-12,微信小游戏列表收录时间,已上线/观察中,塔防,合成塔防 / 轻量塔防,以合成防御塔为核心的轻量小游戏,代表最典型的微信轻塔防结构; 规则简单但扩展空间有限,合成反馈直接且适合买量首屏,微信小游戏天然适配,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/5487.htm),适合作为模板化产品样本
塔防合成高手,微信小游戏,2025-11-14,微信小游戏列表收录时间,已上线/观察中,塔防,合成塔防 / 轻量小游戏,合成防御塔并消灭敌人的轻量产品,本质上是微信小游戏中最标准的一类“合成塔防模板”,合成前后差异和数值跃升适合短视频,微信轻传播友好但中长期差异化弱,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/8072.htm),适合作为模板对照组
陷阱塔防大师,微信小游戏,2025-11-12,微信小游戏列表收录时间,已上线/观察中,塔防,陷阱塔防 / 轻策略,以“陷阱”而非纯炮塔为卖点的微信轻塔防,它说明小游戏也会尝试通过命名和主题差异做包装; 但底层仍是轻量波次防守,陷阱触发很适合短视频高光,微信轻用户容易理解,7k7k 微信小游戏页,[7k7k微信小游戏](https://www.7k7k.com/wxgame/3806.htm),适合研究题材包装对点击率的帮助
躺平发育,微信小游戏,2025-Q3,Q3活跃榜时间口径,已上线且高活跃,塔防,宿舍塔防 / 轻度生存 / 微信爆款,以宿舍场景和轻度对抗为核心的现象级小游戏塔防,研究价值极高; 它证明超低理解成本和强社交传播可以把塔防推成大众小游戏,题材和玩法都极适合短视频传播,月狐数据显示 2025Q3 微信小游戏活跃榜中策略塔防表现突出且该作增长率 53.8%,月狐数据与微信小游戏榜单文章,[月狐数据](https://www.moonfox.cn/en/insight/report/1822) | [人气榜文章](https://www.10100.com/article/54616043),虽然不是 2025 新发售但必须纳入 2025 生态样本
盲盒派对,iOS / Android,2025-05-29,公测首发时间（TapTap动态）,已上线,塔防,二次元塔防 / 美少女塔防 / 工坊关卡,以美少女阵容和自定义关卡为卖点的二次元塔防,它的研究价值在于把二游角色收集和塔防做了强绑定; 题材包装能力明显强于传统塔防,立绘、角色演出和盲盒题材很适合短视频分发; 首屏吸引力强,更偏手游内容消费与社区传播; 微信轻量化适配较弱,TapTap 产品页与公测动态,[TapTap](https://www.taptap.cn/app/236096) | [TapTap公测动态](https://www.taptap.cn/moment/676745820585855639),适合研究二次元塔防包装
永远的蔚蓝星球,iOS / Android,2025-06-11,公测时间（TapTap动态）,已上线,塔防,合成塔防 / 竖版塔防 / 合作+PVP,以“英雄2合1”和局内三重随机为核心的萌系塔防,它很适合研究竖版轻操作塔防如何做出高传播性; 玩法上明显朝轻量、短局和社交模式靠拢,Q萌角色与合成进阶很适合做抖音素材; 首屏理解速度快,若未来做微信小游戏化改造潜力较强; 合成和短局结构天然适配轻量场景,TapTap 产品页与公测动态,[TapTap](https://www.taptap.cn/app/713683) | [TapTap公测动态](https://www.taptap.cn/moment/681916172270046765),2025 国内重点新塔防样本
石器争霸,iOS / Android,2025-03-21,公测首发时间（TapTap动态）,已上线,塔防,卡牌塔防 / 即时战略 / 多人竞技,把远古题材、卡牌养成和多人对抗塔防结合的产品,它更接近“RTS+卡牌+塔防”的混合形态; 适合研究多人竞技怎样重新包装塔防,题材辨识度和对战高光适合短视频传播; 但玩法理解成本高于轻塔防,更适合手游和社群环境; 微信侧若要转化需要显著降复杂度,TapTap 产品页与公测动态,[TapTap](https://www.taptap.cn/app/62037) | [TapTap公测动态](https://www.taptap.cn/moment/652250556860990729),适合研究竞技化塔防
魔法之路,iOS / Android,2025-02-21,公测时间（3DM礼包活动与TapTap公测信息）,已上线,塔防,暗黑像素塔防 / 割草塔防 / Build构筑,以暗黑像素风、装备词缀和技能 Build 为核心的塔防割草手游,它的重要性在于把“暗黑刷装+build构筑”大幅引入塔防; 对国内手游用户很有吸引力,像素暗黑和大招特效适合短视频展示; 更适合展示 build 爽感而非精细塔防逻辑,手游适配度高; 微信小游戏若移植需强烈压缩构筑复杂度,TapTap 产品页与 3DM 公测礼包文章,[TapTap](https://www.taptap.cn/app/739311) | [TapTap介绍页](https://www.taptap.cn/app/739311/all-info) | [3DM公测礼包文](https://shouyou.3dmgame.com/gl/561353.html),2025 年国内高关注 build 塔防样本
境界勇士,iOS / Android,2025-03-07,公测时间（TapTap动态）,已上线/观察中,塔防,三国塔防 / 割草塔防 / 放置塔防,用三国题材包装放置塔防和割草式战斗,它说明国内塔防很常通过熟悉题材与放置化来降低理解门槛; 更偏轻策略而非纯硬核塔防,三国题材和割草反馈适合短视频点击; 首屏转化能力通常会比纯策略塔防更好,若走微信小游戏路线会较容易切过去; 题材和规则都偏大众化,TapTap 产品页与公测动态,[TapTap](https://www.taptap.cn/app/715377) | [TapTap公测动态](https://www.taptap.cn/moment/647220771130707341),适合作为题材包装型样本
雀仔营地,iOS / Android,2025-04-29,2025年可玩观察时间（TapTap动态）,已上线,塔防,卡牌塔防 / Roguelike / 凉屋出品,凉屋出品的卡通卡牌塔防手游,它适合研究“卡牌构筑+塔防+随机事件”的轻中度设计; 也代表了国内独立气质团队对塔防的产品化思路,卡通画风和随机事件适合做试玩内容; 但卖点更偏耐玩而不是强买量钩子,更适合社群传播和 TapTap 口碑发酵; 微信轻量化需要进一步压缩系统层,TapTap 产品页与新游安利动态,[TapTap](https://www.taptap.cn/app/741232) | [TapTap安利动态](https://www.taptap.cn/moment/666155619627044359),适合研究轻中度卡牌塔防
Omega Royale,iOS / Android,2025-02-11,全球上线时间（App Store版本1.0.0）,已上线,塔防,Merge塔防 / PvP塔防 / 实时对抗,以合并防御塔和 PvP 对战为核心的移动塔防,它很适合研究移动端如何把塔防做成高频对战产品; 重点不是长关卡而是短局对抗与卡组构筑,Merge演化和 PvP 对局都适合短视频展示; 竞技化传播比传统关卡塔防更强,更偏手游对战生态; 微信轻量化有潜力但需要更强首局教学,App Store 版本历史与 Google Play 产品页,[App Store](https://apps.apple.com/us/app/omega-royale-tower-defense/id6447241072) | [Google Play](https://play.google.com/store/apps/details?id=com.towerpop.omegaroyale),适合研究 2025 海外 PvP 塔防
Tower Defense: Lazy Apocalypse,iOS,2025-03-27,首发版本1.0.0（App Store版本历史）,已上线,塔防,增量塔防 / 长线养成 / 单塔防守,以单塔持续成长和多层元养成为核心的塔防,它的重要性在于把增量和活动化运营深度嵌入塔防; 非常适合研究移动端长线留存结构,数值跃升和活动奖励适合短视频切片; 但首屏理解更偏系统成长而非纯策略,更像重运营手游; 微信轻量化难度较高,App Store 版本历史与用户评价,[App Store](https://apps.apple.com/us/app/lazy-apocalypse-tower-defense/id6742743519),适合研究增量塔防运营
Tower Defense Rush,iOS,2025-03-06,首发版本1.0.0（App Store版本历史）,已上线,塔防,经典关卡塔防 / 现代手游商业化 / 轻中度策略,偏传统路线和升级关卡的移动塔防,研究价值在于它代表了 2025 年仍在生产的“标准移动塔防”模板; 可作为对照组样本,短视频层更依赖火力压制和升级前后差异; 传播力中等但理解成本低,若压缩经济和广告层有一定微信小游戏适配潜力,App Store 版本历史与用户评论,[App Store](https://apps.apple.com/us/app/carrera-de-defensa-de-la-torre/id6741510650?l=en-US),适合作为标准化移动塔防对照组
Tower defense: Survivor mode,iOS,2025-02-22,首发版本1.0.0（App Store版本历史）,已上线,塔防,Survivor塔防 / 元素武器 / Roguelite,以单塔防守和幸存者式随机商店为核心,它展示了“幸存者like”如何反向影响塔防设计; 比传统建塔更强调即时随机 Build,元素组合和爆发清屏适合短视频爽点表达; 强传播点在成长和混乱感,更适合移动端短局与重复游玩; 微信小游戏理论上有改造潜力,App Store 版本历史页,[App Store](https://apps.apple.com/us/app/tower-defense-survivor-mode/id6741107473),适合研究 survivor 化塔防
Battle Strategy: Tower Defense,iOS,2025-05-25,2025年高活跃观察（App Store用户评论与版本节奏）,已上线且持续更新,塔防,军事塔防 / 赛季更新 / 现代战争题材,以现代军事武器和赛季更新驱动的塔防,研究价值在于它说明海外移动塔防仍在往“赛季化+长期活动”方向发展; 题材更偏男性战争用户,现代战争包装和赛季更新适合做持续内容分发; 首屏更靠题材与火力展示,更适合重运营手游; 微信轻量化适配一般,App Store 产品页与 2025 版本历史,[App Store](https://apps.apple.com/us/app/battle-strategy-tower-defense/id6447466185),适合研究赛季化军事塔防
King of Defense 5,Android,2025-11-27,2025年Google Play活跃观察,已上线且高活跃,塔防,经典塔防 / 英雄+塔 / 离线塔防,延续传统多塔位和英雄技能的免费塔防产品,它代表 2025 年 Google Play 上仍然有稳定需求的经典塔防; 适合做海外 Android 市场对照,英雄技能和高难波次有短视频空间; 但传播性不如 PvP/merge 类产品,更适合 Android 长尾市场; 微信适配度一般,Google Play 产品页,[Google Play](https://play.google.com/store/apps/details?id=com.joyup.td.tower.defense.battle.kingofdefense),适合作为经典 Android 塔防观察样本
SCP: Tower Defense,Android,2025-10-28,2025年Google Play更新时间,已上线/Beta持续更新,塔防,SCP题材塔防 / 科技树 / IP塔防,以 SCP 世界观和科技树升级为核心的题材塔防,它适合研究强世界观 IP 如何降低塔防题材冷启动成本; 玩法上仍然是比较标准的守线与升级逻辑,SCP 题材和怪物单位很适合短视频题材传播; 首屏吸引力强于同质化经典塔防,更适合手游与社区传播; 微信小游戏若借用这类思路需要替换为可商用世界观,Google Play 产品页与评论活跃,[Google Play](https://play.google.com/store/apps/details?id=com.SCPTD),适合作为题材驱动型海外塔防样本
Kings Defender: Tower Defense,Android,2025-12-24,2025年Google Play高活跃观察,已上线且高活跃,塔防,经典塔防 / 英雄塔防 / 免费内购,偏传统结构但拥有较强后期内容更新的免费塔防,研究价值在于它说明 2025 年 Android 侧仍存在对“老派免费塔防”的稳定需求; 更适合作为商业化对照组,首屏传播主要依赖传统火力展示; 传播性中等但用户理解成本低,更适合 Google Play 长尾市场; 微信轻量化可做但差异化不足,Google Play 产品页与评论活跃,[Google Play](https://play.google.com/store/apps/details?id=top.kingsdefender.towerdefense),适合作为免费经典塔防对照组
The Tower Defense,Android,2025-04-01,2025年Google Play更新时间,已上线/轻量观察样本,塔防,Idle塔防 / 单塔成长 / 离线进度,以单塔升级与永久研究为核心的轻量 idle 塔防,它适合作为“超轻量海外独立塔防”样本; 重点不是大规模关卡设计而是长期升级与离线积累,数值跃升和塔体强化适合短视频切片; 但品牌识别度和题材包装偏弱,若做微信小游戏化会比较顺; 轻量规则和离线积累都符合微信场景,Google Play 产品页,[Google Play](https://play.google.com/store/apps/details?id=com.infectedgames.towerdefense),适合研究超轻量idle塔防
Tower Defense - Conquest,Android,2025-12-29,2025年Google Play更新时间,已上线/观察中,塔防,地图扩张塔防 / 经营塔防 / 地形改造,把地形扩张和据点经营加入塔防主循环的实验产品,它和传统一本道守线差异较大; 适合研究塔防向轻经营扩张的边界,地图扩张和占地反馈有短视频表现力; 但需要更多实机才能判断中长期可玩性,若转小游戏会有一定空间; 关键在于压缩经营复杂度,Google Play 产品页,[Google Play](https://play.google.com/store/apps/details?id=com.Slimes.TD),适合作为经营向塔防观察样本
