产品名,产品类型,平台,发售状态,主品类,次级标签,上线时间,时间口径,地区/市场,核心玩法,核心玩法分析,核心循环,核心循环分析,局内体验,局外系统,主要成长线,内容更新方式,付费模式,主要付费点,社交属性,PVP/PVE属性,节奏类型,操作门槛,目标用户画像,核心卖点,参考价值,风险提示,研发复杂度,运营复杂度,榜单排名,收入规模,收入口径,是否适合小团队,题材差异化,买量素材强度,抖音来源,抖音传播观察,微信来源,微信生态观察,数据来源,备注
Element TD,War3地图,Warcraft III,已上线,塔防,传统TD / 组合TD / 元素构筑,待确认,首次公开出现日,全球,六元素分支与组合建塔守波次,玩法重心不在单塔强度而在元素选择顺序和组合路线规划; 玩家前中后期都要为最终成型构筑做取舍,选元素 -> 建塔组合 -> 守波次 -> 调整构筑,循环驱动力来自每一波对当前构筑的检验; 守住后获得继续补完组合的空间,守不住则暴露组合缺口并逼迫转型,重构筑与塔系联动,弱局外,元素与塔系构筑,版本迭代与地图版本更新,无直接商业化,无,多人,PVE,中长局,中,硬核塔防玩家 / War3地图玩家,组合深度高且重开价值强,适合研究组合塔防和长线构筑,商业化与现代发行参考有限,中,低,待确认,待确认,War3自定义地图无公开流水口径,是,中,中,待补充,组合塔防在短视频里较难一眼讲清; 更适合面向硬核用户做机制拆解型内容,待补充,更适合内容讨论和社群传播; 不太适合直接小游戏化表达,https://www.epicwar.com/maps/133719/,War3组合塔防代表样本
Gem TD,War3地图,Warcraft III,已上线,塔防,组合TD / 合成TD / 迷宫TD,待确认,首次公开出现日,全球,随机宝石合成与迷宫摆位防守,玩法的关键是把随机资源转成稳定输出; 玩家既要理解宝石升阶价值也要理解路线和火力覆盖的空间收益,获取宝石 -> 合成升阶 -> 摆位封路 -> 守波次,循环核心是随机给牌后做资源再配置; 每次合成与摆位都会改变下一波的生存率和后续可选路线,随机资源驱动重复游玩,弱局外,宝石等级与塔型组合,版本迭代与地图版本更新,无直接商业化,无,多人,PVE,中长局,中,策略构筑玩家 / War3地图玩家,随机性与构筑性结合非常典型,适合研究随机资源和合成构筑,较依赖老平台生态,中,低,待确认,待确认,War3自定义地图无公开流水口径,是,中,中,待补充,宝石合成和随机出货有短视频表达潜力; 合成结果和高价值塔是可用钩子,待补充,若做轻量化改造有小游戏潜力; 需要把复杂构筑压缩成更直观的反馈,https://www.epicwar.com/maps/22972/,经典随机合成塔防
Green Circle TD,War3地图,Warcraft III,已上线,塔防,迷宫TD / 传统TD,待确认,首次公开出现日,全球,玩家自行封路并围线守怪,玩法重点是用极简规则制造高上限空间决策; 封路质量直接决定输出效率和容错,所以策略性来自地形利用而非系统堆料,规划路线 -> 建塔封路 -> 调整火力 -> 守波次,循环很短很纯粹: 规划一次路线就立刻接受怪物流动反馈; 这种快速验证让玩家愿意反复优化细节,规则简单但空间策略强,弱局外,路线规划与塔位优化,版本迭代与地图版本更新,无直接商业化,无,多人,PVE,中局,低,休闲策略玩家 / 联机玩家,低规则成本下的高复玩性,适合研究极简规则与空间策略,视觉和包装层较弱,低,低,待确认,待确认,War3自定义地图无公开流水口径,是,低,低,待补充,封路前后差异和怪物走位变化适合短视频展示; 首屏理解成本较低,待补充,有较强小游戏化潜力; 规则简单且社交转发时容易被解释清楚,https://www.epicwar.com/maps/100937/,适合作为轻量塔防原型参考
Wintermaul,War3地图,Warcraft III,已上线,塔防,传统TD / 多人协作TD,待确认,首次公开出现日,全球,多人分边建塔共同承受出怪压力,玩法亮点是把塔防的个人构筑转成多人分工问题; 单个玩家的强弱不只看自己效率,还看是否和队友形成互补,分工建塔 -> 协同守线 -> 补漏 -> 守更高波次,循环驱动力来自团队压力共享; 某一路失守会立刻传导给全队,因此玩家会持续围绕补位和协作做决策,强调协作守线与配合,弱局外,塔系分工与协作效率,版本迭代与地图版本更新,无直接商业化,无,多人协作,PVE,中长局,中,多人守图玩家 / 联机社交玩家,多人守线协作感很强,适合研究协作塔防与组队留存,单人参考价值较低,中,低,待确认,待确认,War3自定义地图无公开流水口径,部分适合,低,中,待补充,多人配合和翻车救场有传播点; 但需要视频里清楚呈现团队分工,待补充,更适合社群讨论和多人约局传播; 小游戏化难点在多人协作还原,https://www.epicwar.com/maps/74/,经典多人守线母版
Pokemon Defense Final,War3地图,Warcraft III,已上线,守图,塔防混合 / IP包装 / 英雄成长,待确认,首次公开出现日,全球,以宝可梦题材包装守波次与单位成长,玩法不是纯塔位计算而是借IP认知降低理解成本; 玩家更容易把关注点放在收集感和阵容成长上,养成单位 -> 守波次 -> 强化阵容 -> 推进关卡,循环的正反馈来自熟悉角色不断变强; 波次压力推动养成,养成结果又强化用户对IP和收集的投入,IP驱动下的守图体验,弱局外,单位成长与阵容强化,版本迭代与地图版本更新,无直接商业化,无,多人,PVE,中局,低,宝可梦受众 / 轻策略玩家,强IP让塔防更易传播,适合研究题材包装对TD传播的放大,IP不可直接复用,中,低,待确认,待确认,War3自定义地图无公开流水口径,部分适合,高,高,待补充,强题材和熟悉角色天然适合短视频传播; 首屏优势明显,待补充,微信轻社交传播潜力高; 但真正落地需要替换成可商用题材,https://www.epicwar.com/maps/153487/,更适合作为包装和传播样本
Legion TD Mega,War3地图,Warcraft III,已上线,塔防,对抗TD / 发兵TD / 经济博弈,待确认,首次公开出现日,全球,守自己一路同时通过发兵与经济压制对手,核心不只是防守而是把防守效率转成压制手段; 玩家每次发兵都在做短期压制和长期经济之间的权衡,守线 -> 运营经济 -> 发兵压制 -> 抗更高压力,循环由双向博弈驱动; 你对对手施加的压力会反过来改变对方经济和你的后续防守,因此每轮都是预测与反预测,兼具防守与博弈对抗,弱局外,经济成长与兵线压力控制,版本迭代与地图版本更新,无直接商业化,无,多人强对抗,混合,中长局,高,硬核PvP策略玩家 / 联机玩家,将塔防与对抗运营融合得很成熟,适合研究PvP化塔防与发兵机制,对新手门槛较高,高,低,待确认,待确认,War3自定义地图无公开流水口径,否,中,中,待补充,高光时刻是反杀和压线成功; 但核心博弈需要较长解释成本,待补充,更适合中重度社群传播; 不适合直接照搬进轻量微信场景,https://www.epicwar.com/maps/176364/,War3对抗塔防代表样本
Wintermaul Wars,War3地图,Warcraft III,已上线,塔防,对抗TD / Tower Wars / 发兵TD,待确认,首次公开出现日,全球,在Wintermaul协作框架中加入互发兵对抗,这类玩法的关键价值在于把协作守线的满足感改造成攻防博弈; 它证明同一底层塔防框架可以通过发兵规则获得完全不同的情绪体验,建塔守线 -> 发兵施压 -> 调整经济 -> 对抗淘汰,循环本质是守线与压线交替放大; 当玩家成功守住一轮就会获得向外施压的窗口,节奏上更像回合式拉扯,协作守图演化出的对抗体验,弱局外,塔防构筑与发兵运营,版本迭代与地图版本更新,无直接商业化,无,多人强对抗,混合,中长局,高,喜欢塔防博弈的硬核玩家,说明协作TD如何平滑转成PvP玩法,非常适合作为玩法变体研究,不适合作为轻量产品直接照搬,高,低,待确认,待确认,War3自定义地图无公开流水口径,否,低,中,待补充,传播点在攻防反转和互发兵; 需要通过剪辑强化结果反馈而非展示完整规则,待补充,适合做核心玩家内容传播; 微信轻量扩散能力一般,https://www.epicwar.com/maps/222240/,对抗化改造样本
Castle Fight,War3地图,Warcraft III,已上线,守图,出兵对抗 / 自动战斗 / 邻近塔防,待确认,首次公开出现日,全球,通过建筑出兵与兵种克制推进对抗,玩法更偏自动对推而非经典守波次; 重点在生产体系和兵种克制链,因此和塔防共享的是布阵思维而不是塔系构筑,布阵 -> 出兵 -> 克制博弈 -> 压垮对线,循环依赖兵线交换带来的局势变化; 玩家每轮根据对方阵容调整自己产线,形成持续的反制博弈,更像自动对推与防守混合,弱局外,建筑组合与兵种克制,版本迭代与地图版本更新,无直接商业化,无,多人强对抗,PVP,中局,中,War3对抗图玩家,与塔防用户重叠高但规则更偏对推,适合研究邻近玩法迁移,不属于纯塔防,中,低,待确认,待确认,War3自定义地图无公开流水口径,部分适合,低,中,待补充,自动对推结果和阵容克制有短视频表现力; 理解门槛中等,待补充,如做轻量化改造有微信小游戏空间; 关键是压缩兵种体系复杂度,https://www.epicwar.com/maps/180534/,保留为邻近样本
Enfo's Team Survival,War3地图,Warcraft III,已上线,守图,Hero Defense / 英雄守家,待确认,首次公开出现日,全球,选英雄守40波并在后期形成PVP扭转,玩法重心从建塔转向英雄手操和团队站位; 玩家体验的爽点是技能释放时机和多人协作扭转局势,选英雄 -> 守波次 -> 成长强化 -> 应对后期变化,循环通过波次压力推动角色成长; 每轮守住后获得更强技能与容错,再去面对更复杂的敌人组合,英雄操作与守家并重,弱局外,英雄技能与等级成长,版本迭代与地图版本更新,无直接商业化,无,多人协作,混合,中长局,中,喜欢英雄操作与守图的玩家,英雄防守图的经典母版,适合研究守家与英雄成长结合,塔防占比低于纯建塔产品,中,低,待确认,待确认,War3自定义地图无公开流水口径,部分适合,低,中,待补充,英雄放技能和守家翻盘适合视频高光; 角色辨识度会影响传播效率,待补充,适合社群向传播和内容讨论; 轻量小游戏化需要大幅简化手操,https://www.epicwar.com/maps/442/,英雄防守典型样本
X Hero Siege,War3地图,Warcraft III,已上线,守图,RPG守家 / 刷装 / 英雄成长,待确认,首次公开出现日,全球,英雄成长刷装守基地并挑战更高强度内容,玩法核心是把守家压力和刷宝成长绑在一起; 玩家不是单纯防守而是在防守间隙寻找提升装备和数值的最优路径,守家 -> 刷装 -> 合成成长 -> 打Boss -> 守更高波次,循环的长线吸引力来自数值爬升和装备更新; 每次成长都让玩家更能挑战后续Boss和波次,重成长与刷装反馈,弱局外,英雄装备与合成成长,版本迭代与地图版本更新,无直接商业化,无,多人协作,PVE,长局,中,刷装养成玩家 / 守图玩家,把守家和刷宝成长结合得很成熟,适合研究RPG化守图,商业化层面需二次转译,中,低,待确认,待确认,War3自定义地图无公开流水口径,部分适合,低,中,待补充,掉宝和战力跃升是可传播点; 但完整乐趣需要较长游玩时长才能体现,待补充,适合社群沉淀和长线养成传播; 不适合原样进入微信轻量场景,https://www.epicwar.com/maps/147431/,亚洲服影响力较强
Hero Siege Emerald X,War3地图,Warcraft III,已上线,守图,RPG守家 / 刷装 / Boss推进,待确认,首次公开出现日,全球,英雄守家并通过Boss与成长系统推进,玩法更强调中后期成长兑现; 前期守住只是门槛,真正的乐趣在于用积累出的强度去处理Boss和高压波次,守基地 -> 打Boss -> 强化装备 -> 推更高难度,循环结构是典型的压力关卡驱动成长; Boss既是内容节点也是成长校验点,推动玩家不断强化角色,偏中后期成长驱动,弱局外,英雄装备与数值成长,版本迭代与地图版本更新,无直接商业化,无,多人协作,PVE,长局,中,守家刷装玩家,是X Hero体系外的另一条守家样本,适合补齐英雄守家变体,样本知名度与资料沉淀可能弱于头部图,中,低,待确认,待确认,War3自定义地图无公开流水口径,部分适合,低,中,待补充,Boss战和后期成长兑现有展示价值; 首屏吸引力弱于强题材产品,待补充,更适合核心玩家社群扩散; 微信传播要依赖更直接的成长反馈包装,https://www.epicwar.com/maps/303265/,用于丰富英雄守家分支
The Black Road,War3地图,Warcraft III,已上线,RPG,ORPG / Save-Load / 地牢RPG,待确认,首次公开出现日,全球,多英雄成长与存档推进长线Boss战,玩法核心是可延续的角色养成与多人协作推进; 相比守波次产品,它更强调长期投入和角色构筑沉淀,接任务/刷图 -> 获得装备 -> 存档成长 -> 挑战更强内容,循环依赖存档带来的长期目标感; 玩家每次游玩都会把进度沉淀到下一次,因此留存驱动力强于单局胜负,长线协作与养成感强,存档延续,角色成长与装备构筑,版本迭代与地图版本更新,无直接商业化,无,多人协作,PVE,长局,中,长线ORPG玩家 / War3老玩家,完整度很高的存档ORPG样本,适合研究长线留存与协作成长,已偏离纯塔防核心,高,低,待确认,待确认,War3自定义地图无公开流水口径,否,中,低,待补充,更适合长视频和深度内容讲解; 短视频首屏传播力较弱,待补充,适合公众号长文或社群讨论; 不适合微信轻量产品化直接借用,https://www.epicwar.com/maps/44027/,作为塔防邻近长线样本保留
Gaias Retaliation ORPG,War3地图,Warcraft III,已上线,RPG,ORPG / 大地图 / 职业构筑,待确认,首次公开出现日,全球,多人协作探索大地图并进行职业构筑与刷装,玩法重点是职业定位、地图探索和多人协同构筑; 它提供的不是塔防式短反馈,而是更完整的协作RPG经营体验,探索地图 -> 完成任务 -> 获取装备 -> 强化职业构筑,循环围绕探索回报展开; 新区域和新装备不断打开后续构筑空间,让玩家持续追求更优职业成长,更偏现代化ORPG体验,存档延续,职业构筑与装备成长,版本迭代与地图版本更新,无直接商业化,无,多人协作,PVE,长局,高,偏硬核的协作RPG玩家,后期War3 ORPG完成度很高,适合参考长期内容设计,与塔防的直接关联较弱,高,低,待确认,待确认,War3自定义地图无公开流水口径,否,中,低,待补充,更适合核心玩家深度内容和实机展示; 不适合用短视频快速讲明白,待补充,适合公众号深度稿和社群内容沉淀; 微信轻量化适配弱,https://www.epicwar.com/maps/330446/,塔防邻近高完成度ORPG样本
